Symbol,Market Cap,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
MTNL.NS,,Telecom Services,Communication Services,3309,,,,,,86400,2,54.4,54.25,54.25,61.87,54.4,54.25,54.25,61.87,,,1253145600,,2.85,0.771,,,53545133,53545133,5049837,11764824,11764824,36892798976,29.55,101.93,4.7121453,49.305,48.2245,,,327393312768,,259818300,630000000,0.57701,0.13121,630462976,-375.303,,,-56.15,,0.7325444,1.0,1253145600,NSI,EQUITY,MTNL.NS,MAHANAGAR TELEPHONE NIGAM,Mahanagar Telephone Nigam Limited,58.56,,,,,,none,,1084300032,1.721,2241325056,301412810752,,,7829300224,,12.43,,,,,,-0.078,0.08464,0.28627002,-0.37493
MUFIN.NS,,Credit Services,Financial Services,481,,,,,,86400,2,119.07,119.25,119.06,122.0,119.07,119.25,119.06,122.0,,,,,,-0.319,102.23932,,306472,306472,286799,371462,371462,19580119040,90.65,274.4,35.434834,112.8486,123.13905,,,21531101184,0.30403998,47300705,163370000,0.57903,0.13054,163686000,15.058,7.9439507,0.198,1.17,,-0.18264437,,,NSI,EQUITY,MUFIN.NS,MUFIN GREEN FINANCE LTD,Mufin Green Finance Limited,119.62,,,,,,none,,2513327104,15.431,,6400720896,,,552566976,262.22,3.536,,,,,0.102,0.454,1.0,,0.36766
MUFTI.NS,,Apparel Retail,Consumer Cyclical,232,,,,,,86400,2,204.12,205.0,199.3,213.84,204.12,205.0,199.3,213.84,0.5,0.0023999999,1724198400,0.0547,,,22.026258,,1080881,1080881,285125,501712,501712,13124152320,145.2,324.8,2.2143703,184.3318,181.9361,,,15434647552,0.099350005,12521044,65190500,0.62908,0.1142,65190500,58.332,3.451279,-0.054,9.14,,-0.35515696,0.5,1724198400,NSI,EQUITY,MUFTI.NS,CREDO BRANDS MARKETING L,,201.32,,,,,,none,,17840000,0.276,1229040000,2459000064,1.833,2.756,5926810112,65.315,92.042,0.08772001,0.16958,589338752,1256009984,-0.057,0.12,0.56995,0.20737,0.22167999
MUKANDENGG.NS,,,,,,,,,,86400,2,30.75,30.75,30.75,30.75,30.75,30.75,30.75,30.75,,,,,,,,,2609,2609,2464,347,347,386601312,21.0,30.75,,29.724,27.058,,,,,,,,,,,,,,,,,,NSI,EQUITY,MUKANDENGG.NS,MUKAND ENGINEERS,Mukand Engineers Limited,30.75,,,,,,none,,,,,,,,,,,,,,,,,,,
MUKANDLTD.NS,,Steel,Basic Materials,1466,,,,,,86400,2,148.24,148.85,145.0,151.49,148.24,148.85,145.0,151.49,2.0,0.0135,1721952000,0.2933,,1.267,21.728487,,91539,91539,172873,83050,83050,21392537600,126.31,212.8,0.43333942,144.6874,158.33334,,,35874967552,0.019960001,25735102,144496000,0.77481,0.011779999,146074000,64.916,2.2559924,0.106,6.74,,-0.16194564,2.0,1721952000,NSI,EQUITY,MUKANDLTD.NS,MUKAND LTD.,Mukand Limited,146.45,,,,,,none,,135400000,0.935,2884699904,14799800320,0.23,1.148,49366700032,157.413,341.46,0.04849,0.10835,243550000,2495600128,0.106,-0.083,0.37542,0.05843,0.04946
MUKKA.NS,,Packaged Foods,Consumer Defensive,,,,,,,86400,2,41.36,41.4,40.52,41.58,41.36,41.4,40.52,41.58,,,,,,,18.174107,,452739,452739,1343353,603204,603204,12213000192,30.0,56.56,0.9555979,42.113,40.70855,,,14958406656,0.05531,80496244,300000000,0.78314,0.012,302019008,13.203,3.08339,0.178,2.24,,-0.03644973,,,NSI,EQUITY,MUKKA.NS,MUKKA PROTEINS LIMITED,Mukka Proteins Limited,40.71,,,,,,none,,1268070016,4.201,1032717504,3652709888,,,12780480512,89.46,52.079,,,,,-0.125,-0.371,0.18574,0.0808,0.063779995
MUKTAARTS.NS,,Entertainment,Communication Services,57,,,,,,86400,2,86.39,87.0,86.0,89.84,86.39,87.0,86.0,89.84,,,1566259200,,,0.778,,,21165,21165,166966,13928,13928,2002178048,59.85,116.79,1.0379928,84.7296,76.99935,,,2946205184,-0.04997,5422664,22585200,0.76018995,,22858200,-12.26,,,-7.61,,0.13290739,1.25,1566259200,NSI,EQUITY,MUKTAARTS.NS,MUKTA ARTS LIMITED,Mukta Arts Limited,88.65,,,,,,none,,119993000,5.307,114897752,1115815040,,,1928893952,,84.61,,,,,,-0.041,0.67343,0.05957,-0.15097
MUNJALAU.NS,,Auto Parts,Consumer Cyclical,852,,,,,,86400,2,109.68,109.68,107.0,109.99,109.68,109.68,107.0,109.99,2.0,0.0177,1726704000,0.4963,3.72,0.934,23.944567,,207146,207146,681975,321314,321314,10979990528,71.15,145.7,0.58308125,121.277,100.4117,,,12360345600,0.02142,24205026,100000000,0.75807,,101676000,40.119,2.691742,0.187,4.51,,0.31374693,2.0,1726704000,NSI,EQUITY,MUNJALAU.NS,MUNJAL AUTO IND. LTD.,Munjal Auto Industries Limited,107.99,,,,,,none,,1831622016,18.306,1330126208,2763088896,,,18830979072,67.25,188.168,,,,,0.182,0.003,0.31088,0.07064,0.03141
MUNJALSHOW.NS,,Auto Parts,Consumer Cyclical,2179,,,,,,86400,2,156.68,159.7,154.0,159.7,156.68,159.7,154.0,159.7,4.5,0.0293,1722556800,0.6016,3.71,0.794,20.568987,,54425,54425,81640,56867,56867,6285211648,131.3,211.9,0.52568936,152.3808,161.64764,,,3212745728,0.02503,3203200,39995000,0.90241,0.0175,40153400,166.083,0.9424806,-0.066,7.61,,0.09922755,4.5,1722556800,NSI,EQUITY,MUNJALSHOW.NS,MUNJAL SHOWA LTD,Munjal Showa Limited,156.53,,,,,,none,,2820900096,70.531,139842000,,,,11956132864,,298.949,,,,,-0.066,0.08,0.21829,0.0117,0.0137
MURUDCERA.NS,,Building Products & Equipment,Industrials,302,,,,,,86400,2,54.98,55.4,54.22,56.54,54.98,55.4,54.22,56.54,0.5,0.0104,1726185600,0.5208,2.68,0.589,45.1157,,40539,40539,74010,88531,88531,3349363968,39.95,70.5,1.7436976,51.7138,52.73155,,,3887863040,0.03185,14726986,60545300,0.75838995,,61354900,60.368,0.90428704,0.778,1.21,,-0.04479438,0.5,1726185600,NSI,EQUITY,MURUDCERA.NS,MURUDESHWAR CERAMICS LTD,Murudeshwar Ceramics Ltd.,54.59,,,,,,none,,143900992,2.36,305614240,1103070976,,,1920839936,30.18,30.979,,,,,0.765,0.147,0.41827,0.1591,0.11099
MUTHOOTCAP.NS,,Credit Services,Financial Services,1995,,,,,,86400,2,364.55,365.0,359.15,369.55,364.55,365.0,359.15,369.55,,,1458172800,,,0.605,12.376323,,15676,15676,72891,24861,24861,6004165632,262.0,413.7,2.524045,361.219,326.206,,,23917080576,0.20374,4872498,16447500,0.63334,,16551800,388.733,0.93315977,-0.808,29.31,,-0.095837474,5.0,1458172800,NSI,EQUITY,MUTHOOTCAP.NS,MUTHOOT CAP SERV LTD,Muthoot Capital Services Limited,362.75,,,,,,none,,3182170880,193.458,,21132406784,41.298,41.298,2378787072,330.491,144.632,0.01904,0.07882,,-6068595200,-0.808,0.122,0.99857,,0.34604
MUTHOOTFIN.NS,,Credit Services,Financial Services,28286,5,5,8,5,7,86400,2,2064.5,2062.0,2057.0,2132.9,2064.5,2062.0,2057.0,2132.9,24.0,0.0135,1717113600,0.2157,1.62,0.996,18.247984,13.604882,1360325,1360325,574380,640736,640736,854405480448,1261.9,2132.9,8.988703,1921.494,1797.0055,,,1418212540416,0.46987,89392281,401464000,0.73371005,0.17952,401628992,625.395,3.4016101,0.139,116.58,52.9,0.4296707,24.0,1717113600,NSI,EQUITY,MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,Muthoot Finance Limited,2127.35,2450.0,1550.0,2053.3809,2130.0,1.80952,buy,21,55541989376,138.326,,754316345344,104.338,104.338,95053258752,291.271,236.769,0.049489997,0.19148001,,,0.139,0.206,1.0,,0.65704
MUTHOOTMF.NS,,Credit Services,Financial Services,6204,,,,,,86400,2,190.57,190.57,187.0,191.49,190.57,190.57,187.0,191.49,,,,,,,7.5151877,5.8759375,110032,110032,176294,180342,180342,31532630016,180.41,281.0,2.5500054,203.9304,223.16545,,,105092931584,0.33897,31958326,167542000,0.73605,0.0952,172631008,175.827,1.0694034,-0.438,25.02,,-0.29351872,,,NSI,EQUITY,MUTHOOTMF.NS,MUTHOOT MICROFIN LIMITED,,188.03,260.0,260.0,260.0,260.0,,none,2,12754950144,74.742,,85759860736,1066.517,1069.923,12365710336,285.814,70.367,0.038599998,0.17311001,,-4094360064,-0.538,-0.103,0.97660005,,0.30021
MVGJL.NS,,Luxury Goods,Consumer Cyclical,1004,,,,,,86400,2,250.25,251.0,247.8,263.03,250.25,251.0,247.8,263.03,,,,,,,12.905507,,331089,331089,524924,261877,261877,12475625472,165.0,353.95,0.56500876,243.7308,242.4823,,,15207903232,0.03983,,48847400,0.79459,0.025039999,48889100,136.334,1.8733405,0.204,19.79,,-0.2558275,,,NSI,EQUITY,MVGJL.NS,MANOJ VAIBHAV GEM N JEW L,Manoj Vaibhav Gems 'N' Jewellers Limited,255.4,,,,,,none,,1590989952,32.569,1555209984,4322650112,0.264,1.811,22080409600,64.906,451.597,0.06524,0.14138,-982416256,-500960000,0.203,0.043,0.13113,0.07043,0.07131
NACLIND.NS,,Agricultural Inputs,Basic Materials,1399,,,,,,86400,2,59.4,60.0,57.63,61.49,59.4,60.0,57.63,61.49,0.85,0.0148,1694131200,,,0.606,,,489766,489766,181242,621057,621057,11839438848,49.0,85.0,0.7456129,52.8636,61.3449,,,16204646400,-0.0194,34935533,199384000,0.73152,,203812000,25.472,2.2805433,2.652,-1.55,,-0.21180463,0.25,1694131200,NSI,EQUITY,NACLIND.NS,NACL INDUSTRIES LIMITED,NACL Industries Limited,58.09,,,,,,none,,553600000,2.787,497700000,5217699840,0.689,1.103,15878800384,103.106,80.23,0.00899,-0.05915,2400162560,3251200000,2.75,-0.241,0.26204002,0.03134,0.07715
NAGAFERT.NS,,Agricultural Inputs,Basic Materials,813,,,,,,86400,2,10.09,10.14,9.95,10.14,10.09,10.14,9.95,10.14,,,1310601600,,,0.559,0.28636885,,346059,346059,1265188,569711,569711,5980650496,8.9,15.85,0.13097376,10.2714,10.78775,,,38471073792,0.43243998,233311138,598065024,0.561,,599840000,-56.049,,,34.92,,-0.02439022,1.0,1310601600,NSI,EQUITY,NAGAFERT.NS,NAGARJUN FERT AND CHE LTD,Nagarjuna Fertilizers and Chemicals Limited,10.0,,,,,,none,,101705000,0.17,-1770179200,32610093056,,,45662969856,,76.348,,,,,,-0.189,0.05126,-0.03877,-0.08986
NAGREEKCAP.NS,,Capital Markets,Financial Services,4,,,,,,86400,2,41.33,40.5,40.5,40.5,41.33,40.5,40.5,40.5,,,,,,-0.391,2.795031,,3566,3566,12380,6390,6390,545235328,14.35,43.93,0.7633409,31.4442,24.91595,,,1327161856,0.22909,3762063,12615300,0.69323,,13462600,2.034,19.911505,2.251,14.49,,1.439759,,,NSI,EQUITY,NAGREEKCAP.NS,NAGREEKA CAP & INFR.LTD,Nagreeka Capital & Infrastructure Ltd.,40.5,,,,,,none,,29906000,2.369,370971008,955553984,,,714275008,3724.631,56.655,,,,,2.264,0.631,0.52939,0.51937,0.32799
NAGREEKEXP.NS,,Textile Manufacturing,Consumer Cyclical,700,,,,,,86400,2,37.61,38.36,38.36,38.36,37.61,38.36,38.36,38.36,,,1409616000,,,0.984,47.358025,,11399,11399,16136,10177,10177,1198719360,27.75,58.75,0.19973879,36.9898,36.4841,,,2692307968,0.01022,8064432,31249200,0.74531,,31568200,47.005,0.8160834,0.098,0.81,,0.039602637,0.274953,1409616000,NSI,EQUITY,NAGREEKEXP.NS,NAGREEKA EXPORTS LTD.,Nagreeka Exports Limited,38.36,,,,,,none,,29775000,0.951,251189744,1657577984,,,6001435136,112.848,260.819,,,,,-0.56,0.315,0.20417999,0.04185,0.0239
NAHARCAP.NS,,Capital Markets,Financial Services,18,,,,,,86400,2,356.95,351.8,336.25,355.9,356.95,351.8,336.25,355.9,1.5,0.0046,1725580800,0.098000005,0.89,0.183,18.589256,,40769,40769,25493,23323,23323,5737248256,263.5,383.5,10.187237,321.22,310.4015,,,5399368704,0.45468,3199608,16746200,0.79822,0.00017000001,16755700,920.708,0.37210494,,18.43,,0.172284,1.5,1725580800,NSI,EQUITY,NAHARCAP.NS,NAHAR CAP & FIN.,Nahar Capital and Financial Services Limited,342.6,,,,,,none,,8405000,0.502,471633760,43016000,,,563180032,0.279,33.651,,,,,,0.338,1.0,0.83745,0.84736
NAHARINDUS.NS,,Textile Manufacturing,Consumer Cyclical,6850,,,,,,86400,2,153.11,152.6,148.62,153.79,153.11,152.6,148.62,153.79,,,1504742400,,2.13,0.604,29.850298,,41906,41906,49017,54742,54742,6616929792,108.2,174.5,0.46124098,139.7648,137.0086,,,10760650752,0.011419999,23901922,43205600,0.76252997,,44245600,216.908,0.68946284,,5.01,,0.13510442,1.0,1504742400,NSI,EQUITY,NAHARINDUS.NS,NAHAR INDS ENT LTD,Nahar Industrial Enterprises Limited,149.55,,,,,,none,,316756000,7.336,657917248,5319649792,,,14345927680,54.811,331.796,,,,,,-0.095,0.30308,0.04586,0.01538
NAHARPOLY.NS,,Packaging & Containers,Consumer Cyclical,319,,,,,,86400,2,300.55,304.0,290.05,304.0,300.55,304.0,290.05,304.0,1.0,0.0034,1725580800,0.114700004,0.81,,33.329506,,25353,25353,17135,34283,34283,7389934592,167.3,372.0,1.1449696,254.6758,243.7737,,,8173072896,0.03322,5054870,24588000,0.78294,,25456200,349.541,0.8305177,0.428,8.71,,0.28593576,1.0,1725580800,NSI,EQUITY,NAHARPOLY.NS,NAHAR POLY FILMS LIMITED,Nahar Poly Films Limited,290.3,,,,,,none,,78443000,3.188,413915008,1108658048,1.239,2.371,6454262784,12.891,262.482,0.0056,0.02579,256786368,580984000,0.425,0.271,0.24728,0.06413,0.115159996
NAHARSPING.NS,,Textile Manufacturing,Consumer Cyclical,10444,,,,,,86400,2,290.0,290.0,280.35,291.35,290.0,290.0,280.35,291.35,1.0,0.0037,1725580800,0.2717,1.41,0.855,,,25446,25446,32739,35891,35891,10505829376,225.0,384.5,0.3349621,267.399,288.88824,,,20465149952,-0.008590001,8686428,36065300,0.75927,0.00671,37360700,410.692,0.68469805,,-6.78,,-0.026315808,1.0,1725580800,NSI,EQUITY,NAHARSPING.NS,NAHAR SPINNING MILLS LTD.,Nahar Spinning Mills Limited,281.2,,,,,,none,,15403000,0.427,1349923200,11510147072,,,31364233216,77.71,849.789,,,,,,0.099,0.22472,0.04304,0.03607
NAM-INDIA.NS,,Asset Management,Financial Services,1004,,,,,,86400,2,789.7,789.45,774.25,790.95,789.7,789.45,774.25,790.95,16.0,0.020299999,1730851200,0.7988,2.74,0.516,37.600388,32.590786,995112,995112,1210108,2106626,2106626,492231884800,430.0,816.25,20.350252,695.889,631.3868,19.0,0.024059769,489162113024,0.54557,170639302,633340032,0.00551,0.89034,633516992,64.271,12.0925455,0.473,20.67,,0.73192203,8.0,1730851200,NSI,EQUITY,NAM-INDIA.NS,NIPPON L I A M LTD,Nippon Life India Asset Management Limited,777.2,900.0,580.0,781.42,782.5,1.7,buy,20,2700300032,4.267,16678500352,,4.172,4.172,24188000256,,38.425,0.24579,0.34569,10029712384,9564199936,0.432,0.456,0.83745,0.68954,0.7047
NARMADA.NS,,Agricultural Inputs,Basic Materials,10,,,,,,86400,2,16.26,16.11,15.9,16.35,16.26,16.11,15.9,16.35,,,1568764800,,,-0.401,7.8682923,,77468,77468,258475,148542,148542,615301376,14.42,34.95,1.1262139,16.1376,20.02661,,,304237568,0.03523,4206876,37936400,0.57363,,38146400,12.475,1.2929859,8.177,2.05,,-0.24801862,0.055556,1568764800,NSI,EQUITY,NARMADA.NS,NARMADA AGROBASE LIMITED,Narmada Agrobase Limited,16.13,,,,,,none,,7702000,0.568,36461248,96786000,,,546345024,57.265,40.543,,,,,8.375,0.543,0.1522,0.06674,0.124
NATCOPHARM.NS,,Drug Manufacturers - Specialty & Generic,Healthcare,4016,,,,,,86400,2,1462.55,1473.0,1443.0,1478.8,1462.55,1473.0,1443.0,1478.8,5.75,0.0039,1732665600,0.0506,0.87,0.519,13.531794,12.167977,484954,484954,716361,862709,862709,263381254144,755.0,1639.0,5.7710953,1395.191,1249.2567,1.25,0.0008546716,240933339136,0.42613998,83848342,179110000,0.50905,0.14402,179220000,399.14,3.6841707,0.836,108.67,41.27,0.8965628,1.5,1732665600,NSI,EQUITY,NATCOPHARM.NS,NATCO PHARMA LTD.,NATCO Pharma Limited,1470.5,1675.0,690.0,1343.091,1440.0,,none,11,24633999360,137.518,23736999936,2084000000,3.865,4.958,45638000640,2.912,254.804,0.18889,0.31228,8775624704,17162999808,0.835,0.329,0.84778,0.52011,0.55321
NATHBIOGEN.NS,,Agricultural Inputs,Basic Materials,423,,,,,,86400,2,203.04,204.99,197.46,206.8,203.04,204.99,197.46,206.8,2.0,0.0099,1723161600,0.0971,,1.372,9.661322,,36856,36856,19991,26204,26204,3798289408,167.15,264.31,1.0821822,194.6492,205.5578,2.0,0.009850276,5430786560,0.11218,7488308,19004000,0.61297,0.0436,19510800,304.809,0.65231013,-0.453,20.58,,-0.008823514,2.0,1723161600,NSI,EQUITY,NATHBIOGEN.NS,NATH BIO-GENES (I) LTD,Nath Bio-Genes (India) Limited,198.83,,,,,,none,,20768000,0.989,495588992,1274999040,0.854,2.843,3509842944,19.913,184.021,0.03446,0.06334,-262712752,112454000,-0.384,0.426,0.73697996,0.1412,0.12388
